id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1310891,100+ sq/m Two Bedroom Central  Private Apartment,1037514,Mark,,Praha 1,50.0808,14.42303,Entire home/apt,1243,2,492,2025-02-24,3.46,5,19,47,
1362150,Lovely apartment in city center,7394469,Lucie,,Praha 10,50.07476806640625,14.450712203979492,Entire home/apt,,2,188,2024-12-14,1.35,2,36,9,
1379714,Gym for martial arts and sleepovers,7469380,Jarda,,Praha 2,50.07565,14.41665,Entire home/apt,4000,2,140,2024-12-15,1.09,1,54,14,
1383065,"Modern Studio: Fast Wi-Fi, Cleaning, Top Location",213707029,Rezidence,,Praha 1,50.08024,14.41472,Entire home/apt,1890,6,46,2025-02-16,0.33,7,3,2,
1384280,Spacious Apartment in the centre of Prague(63 sqm),213707029,Rezidence,,Praha 1,50.08023,14.41475,Entire home/apt,2517,13,19,2024-09-25,0.14,7,252,7,
1394492,Bright and sunny apartment,7537751,Alzbeta,,Praha 2,50.06946,14.41526,Entire home/apt,,1,510,2020-08-11,3.95,1,0,0,
1400957,LAVENDER AND CREME DESIGN STUDIO,7564742,Slavo,,Praha 7,50.10526,14.44725,Entire home/apt,1624,1,253,2025-01-02,1.80,1,272,21,
1404051,"Best location Prague 1, comfy, quiet, cosy",5064625,Nikola,,Praha 1,50.0775,14.42224,Entire home/apt,1346,1,278,2025-02-22,1.97,1,287,35,
1437692,Central Old Town - BIG Private Room,4279290,Vincent,,Praha 1,50.09069,14.42669,Private room,542,2,636,2025-02-23,4.49,12,213,2,
1449549,Centrally Located Stylish Studio near Park,1895342,Anatolij,,Praha 3,50.08412,14.44992,Entire home/apt,999,2,799,2025-03-09,5.67,14,293,77,
1460047,** TOP design TOP location TOP service **,7825803,Tereza,,Praha 1,50.09149,14.43139,Entire home/apt,2242,2,158,2025-02-02,1.13,1,106,15,
1475688,Simply the best location and view.,7893606,Thomas,,Praha 1,50.08847,14.4204,Entire home/apt,2149,1,636,2025-02-27,4.50,1,204,54,
1480645,Na Slupi Sanctuary:Serene 2-Bedroom Getaway Prague,37031759,Nick And Jenny,,Praha 2,50.07019,14.4209,Entire home/apt,1281,2,150,2025-03-08,1.06,61,135,27,
1508028,Příjemný byt v krásné lokalitě,8055219,Petr,,Praha 8,50.1275516,14.4199791,Entire home/apt,1714,4,68,2025-01-02,0.50,2,304,8,
1509112,Central Old Town - The Sweet Room,4279290,Vincent,,Praha 1,50.09106,14.42823,Private room,684,2,627,2025-02-16,4.51,12,252,52,
1512029,Calm spacious flat near the castle,8075350,Martin,,Praha 6,50.09,14.37456,Entire home/apt,3389,10,11,2024-08-04,0.10,1,362,1,
1590317,Historic Prague Flat Near Castle In Old Ctr.,8484011,Peter,,Praha 1,50.08921,14.39413,Entire home/apt,1036,30,18,2019-06-10,0.13,2,57,0,
